unix,open,high,low,close,volume
1593820800,9053.87,9196,9045.94,9138.52,19925376.53
1593734400,9091.68,9127.11,9027.17,9063.08,31811442.87
1593648000,9230.97,9268.54,8939,9092.92,62432434.03
1593561600,9136.89,9300,9089.8,9233.38,39902657.31
1593475200,9187.85,9201.95,9060,9132.96,25404526.95
1593388800,9118.8,9240.36,9014.92,9188.88,45418109.93
1593302400,9008.33,9191.72,8933.06,9118.01,29468107.01
1593216000,9158.13,9189,8830.63,9009.3,39638001.2
1593129600,9237.98,9289.71,9024.61,9158.26,72463667.65
1593043200,9286.3,9343.49,8989,9239.48,80394990.01
1592956800,9617.88,9666.35,9193.99,9286.06,93534539.69
1592870400,9688.26,9725.3,9571,9622.81,46825697.25
1592784000,9287.89,9798.76,9267.2,9683.12,64060088.37
1592697600,9355.93,9421.26,9271.52,9283.03,13323115.09
1592611200,9287.6,9400,9138,9355.46,28738044.48
1592524800,9374.83,9429.99,9225.15,9304.32,49367863.31
1592438400,9459.82,9478.69,9250,9374.78,37471116.09
1592352000,9530.62,9566.53,9230.32,9461.29,55843999.82
1592265600,9435.41,9596.31,9374.9,9530.3,65418058.94
1592179200,9329.99,9505.4,8900,9435.15,111005611
1592092800,9478.93,9479.59,9235.01,9329.99,32442729.73
1592006400,9465.92,9500,9345.71,9473.46,27839488.47
1591920000,9265.95,9555,9230,9463.07,65618208.07
1591833600,9894.32,9981.24,9078.91,9264.26,151836075.6
1591747200,9782.3,10011.4,9578,9894.32,70320924.99
1591660800,9786.64,9897.46,9566.81,9776.84,67683087.27
1591574400,9759.04,9813.67,9645,9783,52623520.24
1591488000,9673.08,9829.31,9356,9750.04,65936123.49
1591401600,9616.17,9744.39,9525.76,9669.85,39136486.53
1591315200,9791,9856.48,9592.74,9619.99,68853837.03
1591228800,9668,9888,9430,9791.92,87527709.86
1591142400,9522.52,9699.95,9380.99,9668.99,66994142.37
1591056000,10203.64,10241.26,9135.68,9525.73,216473351.8
1590969600,9444.61,10429.26,9416.5,10203.64,123557320.5
1590883200,9705.1,9711.7,9373.96,9446.19,53824375.35
1590796800,9428.52,9758.27,9326.28,9705.1,65818454.43
1590710400,9581.49,9610,9330,9421.04,68083725.98
1590624000,9209.99,9625.01,9105.79,9577.38,110364065.9
1590537600,8835.79,9230.21,8810.99,9210,63251250.09
1590451200,8903.22,9012,8690,8840.91,52364756.23
1590364800,8710.12,8984.16,8630,8903.56,79419076.66
1590278400,9183.93,9310.91,8669,8718.77,77208872.72
1590192000,9171.96,9316.12,9084.83,9183.46,31933448.09
1590105600,9062.25,9272.97,8924.91,9171.96,66600208.2
1590019200,9505.61,9573.29,8800,9062.47,152972943.1
1589932800,9776.3,9843.87,9100,9516.51,117542489.8
1589846400,9730,9903.89,9455.05,9787.65,118916867.8
1589760000,9672.95,9966.12,9451.2,9721.91,120185436.7
1589673600,9377.79,9894.88,9326.53,9665.7,91976806.01
1589587200,9307.43,9590,9216.08,9389.07,57931464.16
1589500800,9809.91,9844.66,9112,9306.21,161222127.7
1589414400,9323.73,9945.34,9254.85,9793.5,195245032.3
1589328000,8816.99,9418.46,8804.47,9315.5,118892344.2
1589241600,8574.19,8984.87,8534.97,8825.46,123646999.9
1589155200,8740.88,9182.97,8181,8571.98,295434890
1589068800,9527.31,9565.2,8109,8731.17,276249231.1
1588982400,9809.04,9914,9515.4,9546.56,107672153.5
1588896000,10008.19,10048.38,9725,9801.35,188220065.9
1588809600,9163.63,10074,9030.03,10000,250129003.1
1588723200,9040,9417.95,8921.03,9154.32,138330396.9
1588636800,8889.24,9120,8760.1,9034.85,86663496.05
1588550400,8924.14,8974.34,8528.42,8882.87,88997252.45
1588464000,8982.56,9207.82,8723.78,8915.98,82189954.72
1588377600,8836,9022,8760,8983.79,49628855.22
1588291200,8629.72,9075,8616.17,8832.44,100510391.5
1588204800,8789.79,9485.26,8407,8627.32,207553815.7
1588118400,7762.07,8970,7717.14,8790.32,232030140.8
1588032000,7794.22,7798.42,7650,7767.79,56308367.69
1587945600,7708.87,7813.68,7637.03,7786.41,53555103.47
1587859200,7565,7718,7485,7701.73,40415142.54
