https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1616112000000.0,2021-03-19 00:00:00,XRP/USD,0.468975,0.47515,0.4591,0.467075,2794096.415672001,1305052.58335
1616025600000.0,2021-03-18 00:00:00,XRP/USD,0.46955,0.4902,0.4659,0.468975,4882947.128844821,2289980.12975
1615939200000.0,2021-03-17 00:00:00,XRP/USD,0.45985,0.482475,0.4536,0.46955,2753019.981045682,1292680.5321
1615852800000.0,2021-03-16 00:00:00,XRP/USD,0.436175,0.52,0.427175,0.45985,8557918.682178972,3935358.906
1615766400000.0,2021-03-15 00:00:00,XRP/USD,0.439275,0.447725,0.4229,0.436175,5711559.585028945,2491239.502
1615680000000.0,2021-03-14 00:00:00,XRP/USD,0.458,0.461525,0.438525,0.439275,4303859.407887997,1890577.8414
1615593600000.0,2021-03-13 00:00:00,XRP/USD,0.43935,0.466275,0.43225,0.458,5857516.420578602,2682742.520625
1615507200000.0,2021-03-12 00:00:00,XRP/USD,0.451825,0.464575,0.424325,0.43935,6057754.3283828385,2661474.364175
1615420800000.0,2021-03-11 00:00:00,XRP/USD,0.462,0.4642,0.440675,0.451825,3854083.4629004598,1741371.260625
1615334400000.0,2021-03-10 00:00:00,XRP/USD,0.485475,0.488575,0.454825,0.462,3406419.323538961,1573765.727475
1615248000000.0,2021-03-09 00:00:00,XRP/USD,0.4742,0.486575,0.471075,0.485475,4513576.014109893,2191228.31545
1615161600000.0,2021-03-08 00:00:00,XRP/USD,0.4659,0.489225,0.45535,0.4742,4562893.001107127,2163723.861125
1615075200000.0,2021-03-07 00:00:00,XRP/USD,0.463025,0.468775,0.456925,0.4659,2726089.5776454173,1270085.134225
1614988800000.0,2021-03-06 00:00:00,XRP/USD,0.45465,0.470575,0.4492,0.463025,2527031.4277846767,1170078.72685
1614902400000.0,2021-03-05 00:00:00,XRP/USD,0.481025,0.484575,0.446,0.45465,6131532.174529858,2787701.10315
1614816000000.0,2021-03-04 00:00:00,XRP/USD,0.4488,0.49455,0.433475,0.481025,5167280.537446079,2485591.120525
1614729600000.0,2021-03-03 00:00:00,XRP/USD,0.43605,0.467675,0.431,0.4488,4012108.3332219254,1800634.21995
1614643200000.0,2021-03-02 00:00:00,XRP/USD,0.446575,0.4554,0.4219,0.43605,3793376.095057906,1654101.64625
1614556800000.0,2021-03-01 00:00:00,XRP/USD,0.416175,0.454375,0.412675,0.446575,3922757.4118009293,1751805.391175
1614470400000.0,2021-02-28 00:00:00,XRP/USD,0.43615,0.43865,0.3925,0.416175,4607322.388898901,1917452.3952
1614384000000.0,2021-02-27 00:00:00,XRP/USD,0.4279,0.4589,0.427175,0.43615,4897581.592112805,2136080.2114
1614297600000.0,2021-02-26 00:00:00,XRP/USD,0.43445,0.45,0.41095,0.4279,16470019.320752513,7047521.26735
1614211200000.0,2021-02-25 00:00:00,XRP/USD,0.468825,0.482175,0.4246,0.43445,8670224.587466912,3766779.072025
1614124800000.0,2021-02-24 00:00:00,XRP/USD,0.476,0.5011,0.451,0.468825,21448839.8464779,10055752.341025
1614038400000.0,2021-02-23 00:00:00,XRP/USD,0.566225,0.5712,0.3624,0.476,18674451.87652311,8889039.093225
1613952000000.0,2021-02-22 00:00:00,XRP/USD,0.54425,0.649775,0.5154,0.566225,31418576.937789746,17789983.7266
1613865600000.0,2021-02-21 00:00:00,XRP/USD,0.51235,0.55835,0.504,0.54425,8620169.270555811,4691527.1255
1613779200000.0,2021-02-20 00:00:00,XRP/USD,0.564225,0.5822,0.4056,0.513,24332188.032066274,12482412.46045
1613692800000.0,2021-02-19 00:00:00,XRP/USD,0.5309,0.58045,0.5142,0.564225,8286906.250830786,4675679.679375
1613606400000.0,2021-02-18 00:00:00,XRP/USD,0.534675,0.5609,0.52,0.5309,3523215.060745903,1870474.87575
